sample,cg05897963,cg14498592,cg09077862,cg03461110,cg10036013,cg15896356,cg26667395,cg19861824,cg05979118,cg21141024,cg17240135,cg05648964,cg03811629,cg17913347,cg25732104,cg06946838,cg21178254,cg11541547,cg23752752,cg06212582,cg25149125,cg18546840,cg21547690,cg09507567,cg04907244,cg03191045,cg07759247,cg18836258,cg03577433,cg08852963,cg03184410,cg13429194,cg01269718,cg18663033,cg02797195,cg09129050,cg12954512,cg25331250,cg20779334,cg23713520,cg00208274,cg25663755,cg01832712,cg04415270,cg05445090,cg07342322,cg19815271,cg05516489,cg06206957,cg20415486,cg09011473,cg25185947,cg26166817,cg25470148,cg24112733,stage
TCGA-A1-A0SB-01A,0.162591796,0.42184224,0.270144491,0.49669584,0.56538559,0.174703762,0.178511125,0.735306128,0.926639401,0.059011857,0.893343815,0.711880201,0.203900077,0.824328058,0.353760014,0.103761651,0.094236604,0.934071774,0.467086825,0.280951816,0.154275227,0.412000297,0.055117214,0.726004608,0.232205249,0.036630751,0.038934686,0.471243123,0.492588937,0.570805924,0.877769663,0.621662306,0.036714043,0.112096821,0.114723601,0.620442071,0.036385309,0.42184224,0.065703702,0.100797889,0.781428364,0.253995687,0.551095943,0.153574203,0.939963769,0.060717395,0.093676739,0.597008662,0.545084639,0.968886009,0.940699398,0.891134584,0.142123601,0.861003194,0.364834269,Early
TCGA-AC-A2FG-01A,0.571109314,0.501418545,0.761704915,0.817530761,0.816269167,0.926701283,0.087109933,0.411079755,0.804874731,0.279577997,0.713995758,0.518504296,0.426650671,0.543142783,0.430740899,0.06972142,0.283595548,0.686316309,0.694128974,0.891700999,0.45846286,0.424810065,0.170465676,0.382586755,0.251920336,0.02365132,0.039601398,0.398718115,0.661027516,0.447705162,0.501418545,0.578154011,0.071504035,0.139203562,0.676178798,0.850334532,0.383479352,0.909359256,0.56076885,0.284514242,0.893355988,0.19670332,0.48393738,0.526090107,0.913639353,0.725026235,0.312624002,0.21713671,0.17150228,0.609985373,0.764172061,0.714819912,0.427581239,0.748408281,0.423299297,Early
TCGA-AQ-A7U7-01A,0.283275844,0.581013257,0.687527516,0.50785125,0.587677937,0.855337027,0.277023029,0.544735166,0.788755615,0.175677539,0.693516809,0.748055297,0.507806833,0.746352747,0.771796666,0.08203905,0.441925685,0.790959539,0.476695913,0.911130216,0.80525369,0.638318406,0.364431191,0.460515016,0.327897524,0.053036335,0.356724553,0.712228557,0.622974435,0.40709006,0.860418523,0.828698649,0.361446004,0.513179574,0.801475284,0.851964394,0.455573678,0.909367451,0.549295813,0.511173357,0.664640633,0.155932061,0.298528408,0.317356309,0.922251201,0.417450621,0.683287572,0.315887519,0.24064309,0.504435341,0.883211075,0.800735718,0.675562879,0.774752114,0.37472405,Late
TCGA-BH-A0BM-11A,0.155535249,0.478449239,0.450327864,0.628801461,0.700490491,0.693900051,0.109376846,0.645697999,0.907497719,0.09516522,0.821716348,0.793383318,0.2612231,0.782551116,0.340405627,0.129518348,0.148036317,0.906133906,0.551817836,0.878746972,0.448412912,0.621922648,0.066228092,0.705376569,0.195220048,0.027130533,0.047110177,0.643044195,0.226003078,0.765884293,0.839189409,0.806776878,0.047493112,0.20503002,0.383390496,0.855173793,0.297423137,0.478449239,0.297110906,0.439294412,0.732779475,0.082366165,0.516581068,0.107006375,0.878901384,0.210696251,0.404668473,0.187095582,0.257542637,0.943661609,0.864307101,0.829119955,0.481335129,0.519611714,0.424596256,Early
TCGA-GM-A2DF-01A,0.289093062,0.801036678,0.658208821,0.680759727,0.765706435,0.607447456,0.385476795,0.310108237,0.681473065,0.060328141,0.798792722,0.834899663,0.375795316,0.752666103,0.472720491,0.079912521,0.273128522,0.893806806,0.711835054,0.888871003,0.843328696,0.845896609,0.311674449,0.32895766,0.15574162,0.138941197,0.04283936,0.706061486,0.581483523,0.555631722,0.829389001,0.924885092,0.154313878,0.40445213,0.642761567,0.922989806,0.648209767,0.901574185,0.397786158,0.593306962,0.835082348,0.407029379,0.581113768,0.541173884,0.942269178,0.142525832,0.48786496,0.36721255,0.341917224,0.905761243,0.962302943,0.664493339,0.722290451,0.766802031,0.316908003,Early
TCGA-A2-A3XX-01A,0.434717347,0.594948834,0.565393909,0.833419882,0.876282336,0.94225082,0.471465215,0.632323132,0.878571263,0.063455629,0.864206275,0.464672,0.301418471,0.441032119,0.695575217,0.469230199,0.549425123,0.91474446,0.900892035,0.911452592,0.806255253,0.945658448,0.078079633,0.540976759,0.122791248,0.153586911,0.052429012,0.507633801,0.692333579,0.421383614,0.829852907,0.848787971,0.058809693,0.626521184,0.821091532,0.855064256,0.696360111,0.904256407,0.207368445,0.432392056,0.94132185,0.313440431,0.658624899,0.57449823,0.912934381,0.066498026,0.554696013,0.612242141,0.383616567,0.964307353,0.89387864,0.857792532,0.486395726,0.72425491,0.370574497,Early
TCGA-BH-A1EN-11A,0.213442303,0.856887914,0.709602062,0.537411843,0.609437744,0.906373816,0.16754735,0.523404429,0.914763309,0.05545042,0.687010091,0.80766906,0.283649858,0.760770969,0.641830805,0.08129946,0.226546372,0.868080099,0.490751,0.913636959,0.662160472,0.47750214,0.208158956,0.424653255,0.34796917,0.02450308,0.035248261,0.649168197,0.607612474,0.544003651,0.893912469,0.878555638,0.066788941,0.196301408,0.664112083,0.890147303,0.234538474,0.886574084,0.528394912,0.320150445,0.739601752,0.147312021,0.30817779,0.217256543,0.94249708,0.274155414,0.604596562,0.235040624,0.294065339,0.779537758,0.920449629,0.86423473,0.750014669,0.32640026,0.374960553,Early
TCGA-BH-A1EN-01A,0.778148015,0.653471373,0.876460132,0.874988922,0.899963057,0.53204583,0.889646931,0.085057123,0.869758144,0.602312582,0.697397747,0.854488417,0.631116335,0.456664577,0.870609025,0.060692633,0.251995905,0.258365113,0.877819004,0.917754127,0.966248616,0.094304562,0.811738676,0.104782373,0.589937697,0.785544663,0.043474404,0.594576238,0.946152865,0.581440763,0.913302271,0.869317801,0.075216115,0.561839618,0.813796053,0.873746453,0.695315165,0.933627099,0.750500111,0.744013263,0.952478105,0.714852886,0.607421593,0.710987083,0.92377244,0.554512055,0.857179616,0.807029184,0.364692195,0.959948076,0.547443652,0.700670634,0.563648059,0.689551786,0.299108353,Early
TCGA-A2-A3XW-01A,0.357433552,0.890660831,0.523065871,0.634596428,0.678070701,0.742786303,0.11448835,0.584906412,0.91607318,0.177377187,0.835471674,0.766552797,0.356317407,0.798065007,0.340255792,0.082728238,0.23430753,0.919370235,0.612979934,0.890932033,0.493026513,0.220076881,0.071169513,0.774283998,0.588679436,0.211341209,0.041305977,0.497255442,0.332142592,0.433600349,0.865305396,0.890911457,0.186499553,0.332808325,0.416889637,0.789346142,0.354071875,0.882285586,0.40978993,0.347100938,0.798479812,0.088493154,0.62720574,0.312883084,0.924932067,0.193284704,0.728412262,0.372540678,0.21446413,0.874769522,0.897415246,0.872093792,0.524393468,0.273264245,0.66844656,Early
TCGA-D8-A1Y2-01A,0.507275555,0.456683554,0.44043578,0.368076213,0.454736706,0.939244743,0.158195246,0.427850708,0.456683554,0.17540076,0.602820165,0.781406311,0.236112134,0.459851954,0.674031437,0.07016653,0.296342223,0.542769346,0.357051822,0.797262019,0.883170827,0.523780686,0.152630495,0.280540455,0.092972572,0.026760629,0.032831922,0.560546211,0.710628434,0.281976945,0.842125412,0.751369877,0.064016771,0.521179708,0.441123572,0.865129071,0.554352265,0.456683554,0.462646563,0.455820591,0.570633654,0.405794034,0.278626052,0.393063163,0.898208773,0.265340627,0.67740667,0.390984671,0.127764167,0.340785698,0.753976958,0.456683554,0.572936598,0.747841838,0.074865666,Early
TCGA-A7-A26F-01B,0.206046718,0.584477161,0.625996809,0.770248257,0.880193264,0.756292439,0.459876946,0.527829362,0.913052722,0.311080795,0.947751984,0.707815875,0.321814436,0.702049668,0.263585994,0.501985448,0.24605572,0.886109387,0.796322167,0.874092824,0.671868398,0.435520437,0.437787424,0.584477161,0.298963778,0.292939037,0.070232197,0.470739066,0.762990459,0.383611243,0.584477161,0.922239762,0.236948346,0.475960861,0.500613048,0.913233739,0.478785746,0.925438482,0.530793064,0.361109716,0.946541195,0.493233004,0.359659766,0.675566072,0.922164647,0.202714338,0.732556493,0.560059429,0.216535114,0.767527427,0.920952281,0.584477161,0.678600152,0.847626196,0.616623493,Early
TCGA-BH-A1FB-01A,0.335058723,0.711103367,0.566455142,0.492927994,0.579669792,0.749239724,0.13793941,0.533205196,0.761359374,0.249290838,0.627497774,0.845566302,0.350639908,0.797356992,0.634230538,0.172362654,0.222903207,0.884776554,0.462518114,0.902082825,0.519999992,0.776910092,0.189267346,0.585186646,0.261496853,0.028392868,0.250036419,0.671971101,0.546702025,0.543477736,0.8356336,0.755474512,0.117938912,0.42441035,0.669124808,0.842599104,0.291580786,0.511580594,0.410410926,0.524963554,0.635651461,0.249527425,0.396646298,0.253695525,0.889988554,0.190555909,0.543842992,0.291152293,0.155207168,0.776432494,0.870906221,0.511580594,0.555014113,0.698851242,0.344537733,Early
TCGA-E2-A1B1-01A,0.412188969,0.855081097,0.553075313,0.449703937,0.423766531,0.683184643,0.155680522,0.443003824,0.811257474,0.091654221,0.556796589,0.622241945,0.244336944,0.551738181,0.483476018,0.164472408,0.322611012,0.69689808,0.37565624,0.929907667,0.509923881,0.611141713,0.159027705,0.571719327,0.278151163,0.031459614,0.119758366,0.521355389,0.613703365,0.459004094,0.863155691,0.80142481,0.103756365,0.416242204,0.574998445,0.78643393,0.486089984,0.895292384,0.400827069,0.324694009,0.586660268,0.150497275,0.332216239,0.383419118,0.92235918,0.327433232,0.609872348,0.114331257,0.306609206,0.825898914,0.815384494,0.771657921,0.616147179,0.552334051,0.239275023,Early
TCGA-B6-A0WX-01A,0.199656064,0.471352729,0.568831047,0.688867946,0.745355544,0.752775911,0.222315564,0.51085581,0.471352729,0.10478123,0.849894833,0.802241082,0.331493869,0.554906994,0.551957486,0.075223366,0.225652037,0.894857345,0.666047939,0.863654048,0.775004141,0.416647896,0.071631833,0.471352729,0.148142947,0.154004275,0.669440461,0.522511134,0.712127766,0.449679687,0.471352729,0.471352729,0.061238348,0.601597002,0.808657771,0.471352729,0.146374701,0.471352729,0.237488422,0.240347098,0.856937144,0.065643732,0.526214017,0.551107761,0.471352729,0.074754427,0.212223176,0.509160638,0.178593721,0.94504869,0.471352729,0.471352729,0.558040298,0.674120465,0.434767156,Late
TCGA-AC-A23E-01A,0.556041803,0.196466356,0.852370232,0.250280735,0.229439879,0.925468881,0.550158961,0.309068744,0.532310912,0.469979173,0.679602463,0.597865703,0.638659082,0.361104635,0.80543412,0.523635192,0.258510627,0.566950647,0.152026884,0.849213526,0.592471352,0.296057664,0.416930796,0.373090146,0.587663485,0.037671911,0.514339329,0.291731952,0.878322682,0.431364401,0.532310912,0.532310912,0.458364896,0.721657382,0.9075466,0.818194914,0.744059702,0.532310912,0.689555779,0.604371155,0.378397701,0.547676048,0.570190976,0.554658029,0.910253316,0.662858856,0.576820868,0.687979066,0.725733605,0.137824469,0.670811929,0.532310912,0.520579035,0.332384199,0.203705707,Early
TCGA-C8-A278-01A,0.451531278,0.675743283,0.754461,0.70592331,0.775902202,0.733033668,0.170798803,0.309276907,0.780122031,0.40167067,0.6986897,0.897944578,0.46188032,0.538244852,0.545612674,0.499173407,0.532253138,0.836691473,0.598204582,0.887030145,0.718682117,0.60508121,0.353365766,0.630312142,0.350372306,0.040186124,0.052095114,0.634624752,0.767945895,0.416189173,0.588536888,0.694785514,0.268586205,0.50041168,0.677611976,0.897207684,0.566458221,0.908149666,0.690130999,0.486782454,0.892297057,0.430872057,0.483456156,0.484635255,0.906564437,0.176757332,0.733504813,0.324448778,0.321149747,0.931110054,0.868118838,0.766399938,0.669398282,0.813227628,0.465884576,Late
TCGA-AC-A3W7-01A,0.582417523,0.827289048,0.549817171,0.329714023,0.309297125,0.858394252,0.066148045,0.331315014,0.652499662,0.329841322,0.513583471,0.587816607,0.597613311,0.794616446,0.544272121,0.448390681,0.088424819,0.617333705,0.294819062,0.945478758,0.592146764,0.401483066,0.33566275,0.706817422,0.323844374,0.200666014,0.041242789,0.447968947,0.711516178,0.517806129,0.797526879,0.591156594,0.076342736,0.749098727,0.729830865,0.534180639,0.41861039,0.949559972,0.64529664,0.334105817,0.41995537,0.147496033,0.30548162,0.523826078,0.923943233,0.546135912,0.568774084,0.738504628,0.160667922,0.299184377,0.652215281,0.797864684,0.576442822,0.831972411,0.315736466,Early
TCGA-EW-A1PH-01A,0.227732854,0.068371256,0.344210389,0.835326523,0.879241043,0.237418653,0.545211326,0.098131971,0.697032035,0.061038144,0.844348018,0.188343006,0.102480724,0.185512601,0.582402694,0.054567177,0.090558825,0.85306534,0.887105592,0.906609352,0.404728653,0.228676314,0.160748444,0.480635631,0.048706346,0.09422291,0.033668014,0.319408871,0.603701886,0.102699366,0.594839607,0.618153937,0.046015662,0.207279866,0.157938611,0.915053788,0.041884537,0.920707738,0.12605944,0.139481092,0.962748451,0.106229193,0.222591984,0.11460457,0.913789884,0.062744351,0.445602508,0.740368459,0.426704311,0.95439734,0.918924417,0.723421137,0.409155969,0.863547995,0.329020415,Early
TCGA-BH-A6R8-01A,0.736469932,0.601036822,0.240601781,0.158445385,0.196864568,0.94441656,0.119101203,0.205490844,0.48913296,0.476021806,0.358096129,0.572306803,0.666036405,0.660579979,0.777140721,0.12810876,0.49106681,0.518619074,0.148498553,0.906543567,0.574709711,0.174824997,0.404513026,0.626419407,0.280189154,0.101342401,0.050963012,0.20732722,0.831646281,0.511473071,0.48913296,0.48913296,0.564420676,0.804024712,0.886980703,0.855911223,0.861561218,0.48913296,0.744308008,0.490775537,0.249726423,0.332229541,0.223553934,0.715197756,0.875242924,0.412357028,0.569909203,0.539840646,0.141129697,0.142773293,0.329365124,0.48913296,0.957935507,0.35954219,0.731008689,Early
TCGA-D8-A27W-01A,0.644664523,0.391844061,0.867959483,0.283245057,0.243146062,0.950143417,0.111900998,0.249741007,0.558323358,0.455086161,0.717023146,0.453729151,0.67991453,0.463071555,0.526602637,0.368524613,0.468766368,0.438191208,0.192505282,0.886333895,0.797078328,0.341135765,0.691006686,0.310798561,0.222048759,0.162685729,0.038480887,0.473756174,0.790508822,0.26405264,0.884557485,0.477493022,0.601705973,0.619268669,0.836302345,0.540699221,0.5149177,0.934977476,0.598441049,0.613852989,0.362518209,0.581109702,0.461016453,0.583554624,0.925995957,0.552186904,0.577091638,0.602720918,0.692232888,0.23038492,0.655118193,0.799278011,0.979359176,0.861690831,0.209713922,Late
TCGA-AR-A0U2-01A,0.212050302,0.103232069,0.510018038,0.179268358,0.185648629,0.775778187,0.167054891,0.176464536,0.389673017,0.472788715,0.383973749,0.400308437,0.407524389,0.326052669,0.239896915,0.334257807,0.363100425,0.389673017,0.115739952,0.87446829,0.892321984,0.389673017,0.063915285,0.189511808,0.439863461,0.027149205,0.198878123,0.389673017,0.765043746,0.191787143,0.389673017,0.389673017,0.643056319,0.611419085,0.825009447,0.389673017,0.071747817,0.389673017,0.359297217,0.782305862,0.279161909,0.782053394,0.413267183,0.290123849,0.389673017,0.445568578,0.479616042,0.734246543,0.119598671,0.151807468,0.389673017,0.389673017,0.350460687,0.597329215,0.213446357,Late
TCGA-BH-A0H9-01A,0.158682394,0.050188121,0.725844075,0.297737635,0.314854515,0.917680269,0.099835648,0.219346499,0.322508467,0.221928364,0.322508467,0.282951171,0.229586816,0.376223857,0.798842674,0.141906376,0.283544307,0.437728524,0.159960316,0.911017894,0.295360674,0.386154036,0.088683818,0.285696151,0.059430752,0.021790484,0.047316506,0.26903486,0.797304804,0.176018833,0.322508467,0.496868737,0.044721166,0.157558681,0.403032459,0.448945627,0.109302109,0.322508467,0.502234579,0.294239322,0.354929569,0.097471131,0.112772704,0.118343447,0.888644188,0.568432064,0.459746784,0.126913407,0.136558562,0.055232296,0.322508467,0.322508467,0.45299217,0.75519181,0.164133694,Early
TCGA-BH-A209-11A,0.228534894,0.846338173,0.675111249,0.488494941,0.686151404,0.817013007,0.209971176,0.463665194,0.484349274,0.134591221,0.672278437,0.610282886,0.397061162,0.486234684,0.602955154,0.082089284,0.388903994,0.913344584,0.439435394,0.484349274,0.559716269,0.458103086,0.156818886,0.580809365,0.238241441,0.02211317,0.038636032,0.598198342,0.628588855,0.824927367,0.484349274,0.828417255,0.147829813,0.26551098,0.828694524,0.484349274,0.5878831,0.484349274,0.621470943,0.442773039,0.690860294,0.209680427,0.432876723,0.182701378,0.896683457,0.220725408,0.712374114,0.162179769,0.376812745,0.517342949,0.855337134,0.484349274,0.669393657,0.428719892,0.406237175,Early
TCGA-W8-A86G-01A,0.524100184,0.535970312,0.703902223,0.414189494,0.4370531,0.862757097,0.104437276,0.56741019,0.792437433,0.457502139,0.584948023,0.7367492,0.469254462,0.710188494,0.567644261,0.106132162,0.22950186,0.733733287,0.301737657,0.923065563,0.426312164,0.723536139,0.116422215,0.699037001,0.433771336,0.054015573,0.050297625,0.491100911,0.627733327,0.550925268,0.82124536,0.755988515,0.091067365,0.702397017,0.706628319,0.835318448,0.344345621,0.844902724,0.569117835,0.539668905,0.491797585,0.182595698,0.386233463,0.573426055,0.908919637,0.41216275,0.449283754,0.489869942,0.607761178,0.590279622,0.861279764,0.736173866,0.384823735,0.812257883,0.444956161,Early
TCGA-A1-A0SG-01A,0.608037711,0.283019103,0.648697637,0.330569312,0.418698474,0.50889313,0.33732189,0.206975156,0.446506183,0.073806129,0.371096921,0.466937112,0.236244628,0.490732976,0.821806179,0.063761059,0.431959197,0.746554882,0.248423807,0.860691226,0.430314706,0.409653955,0.255456422,0.332273815,0.14897256,0.030218178,0.039042231,0.513856729,0.816936902,0.371810407,0.869878584,0.462532297,0.079984846,0.688368181,0.841454942,0.641751959,0.444765271,0.700698244,0.372816104,0.64568074,0.402666096,0.167301278,0.24878338,0.161407552,0.92501662,0.22515865,0.625664846,0.370717157,0.457438875,0.20663649,0.607146614,0.440956152,0.763019151,0.598046947,0.660680493,Early
